Date Text,Text Text
02.07.2023 01:49:53 UTC+03:00,"Перестрілка між російськими військовими, які відмовилися здатися в полон та іноземними добровольцями, які воюють на боці України на кар'єрі поблизу Володимирівки, Донецька область.Location: NE of Volodymyrivka, Volnovakha Raion, Donetsk Oblast47.748234, 37.420159Source:https://www.youtube.com/watch?v=2TKA4Ydch4g"
02.07.2023 12:05:11 UTC+03:00,"Український дрон робить скид на росіян в південно-західній частині Олешок, Херсонська область.Location: Oleshky, Kherson Oblast, Ukraine46.610159, 32.700918Source:https://t.me/landforcesofukraine/10105"
02.07.2023 13:48:35 UTC+03:00,"Триочковий скид з ФПВ дрона від 11 бригади НГУ поблизу населеного пункту Новопокровка, Запорізька область.Location: W of Novopokrovka, Zaporizhzhia Oblast, Ukraine47.508308, 35.968605Source:https://t.me/ngu_war_for_peace/11209"
02.07.2023 18:46:07 UTC+03:00,"Можливо російський літак випадково скинув ФАБ-500 в населеному пункті Приморсько-Ахтарськ, Краснодарський Край. Місцеві жителі фільмують стопи диму та місце вибуху.Location: Primorsko-Akhtarsk, Krasnodar Krai, Russia1- pov: 46.051138, 38.2172472- pov: 46.054806, 38.2056943 - 46.058475, 38.211452Source:1 -https://twitter.com/michaelh992/status/16755134339727851532 -https://twitter.com/NOELreports/status/16755126413121536023 -https://twitter.com/bayraktar_1love/status/1675511018187898881"
02.07.2023 22:18:56 UTC+03:00,"Російський ФПВ дрон атакує українську позицію на правому березі Дніпра, що на південь від населеного пункту Іллінка, Дніпропетровська область.Location: S of Illinka, Dnipropetrovsk Oblast, Ukraine47.584067, 34.663650Source:https://t.me/RtrDonetsk/18716"
03.07.2023 14:00:41 UTC+03:00,"Ударні дрони ""Дикі Шершні"" роблять точний скид в російський окоп на схід від населеного пункту Урожайне, Донецька область.Location: E of Urozhaine, Donetsk Oblast, Ukraine47.746716, 36.857616Source:https://t.me/wild_hornets/59"
03.07.2023 16:42:46 UTC+03:00,"Український ФПВ дрон знищує комплекс спостереження «Муром-П» поблизу населеного пункту Підстепне, Херсонська область.Locaiton: W of Pidstepne, Kherson Oblast, Ukraine46.659407, 32.886076Source:https://t.me/AFUStratCom/18784"
03.07.2023 18:16:07 UTC+03:00,"Сили спеціальних операцій України ФПВ дронами знищують камери спостереження росіян в населених пунктах Дронівка та Старосілля, Бєлгородська область.Location:1- Dronovka, Belgorod Oblast, Russia50.636519, 35.4249042 - Starosel'e, Belgorod Oblast, Russia50.700441, 35.474711Source:t.me/DPSUkr/12195"
03.07.2023 18:59:32 UTC+03:00,"Український ФПВ дрон знищує фальшиву вежу стільникового зв'язку в населеному пункті Нові Лагері, Херсонська область.Location: Novi Laheri, Kherson Oblast, Ukraine46.734617, 33.210670Source:https://t.me/budem_bambit/2749"
03.07.2023 19:26:43 UTC+03:00,"47-ма окрема артилерійська бригада обстрілює місце дислокації росіян в населеному пункті Тарасівка, Запорізька область.Location: Tarasivka, Zaporizhzhia Oblast, Ukraine47.402606, 36.111104Source:https://www.facebook.com/47OABr/videos/789936785951450/"
