Date Text,Text Text,location,oblast,date,time,timezone,Year,Month,Day,Season,AM_PM
02.07.2023 01:49:53 UTC+03:00,"Перестрілка між російськими військовими, які відмовилися здатися в полон та іноземними добровольцями, які воюють на боці України на кар'єрі поблизу Володимирівки, Донецька область.Location: NE of Volodymyrivka, Volnovakha Raion, Donetsk Oblast47.748234, 37.420159Source:https://www.youtube.com/watch?v=2TKA4Ydch4g",ne of volodymyrivka - volnovakha raion - donetsk oblast.,donetsk,2023-07-01,22:49:53,2023-07-02 01:49:53,2023,7,1,Summer,PM
02.07.2023 12:05:11 UTC+03:00,"Український дрон робить скид на росіян в південно-західній частині Олешок, Херсонська область.Location: Oleshky, Kherson Oblast, Ukraine46.610159, 32.700918Source:https://t.me/landforcesofukraine/10105",oleshky - kherson oblast - ukraine.,kherson,2023-07-02,09:05:11,2023-07-02 12:05:11,2023,7,2,Summer,AM
02.07.2023 13:48:35 UTC+03:00,"Триочковий скид з ФПВ дрона від 11 бригади НГУ поблизу населеного пункту Новопокровка, Запорізька область.Location: W of Novopokrovka, Zaporizhzhia Oblast, Ukraine47.508308, 35.968605Source:https://t.me/ngu_war_for_peace/11209",w of novopokrovka - zaporizhzhia oblast - ukraine.,zaporizhzhia,2023-07-02,10:48:35,2023-07-02 13:48:35,2023,7,2,Summer,AM
02.07.2023 18:46:07 UTC+03:00,"Можливо російський літак випадково скинув ФАБ-500 в населеному пункті Приморсько-Ахтарськ, Краснодарський Край. Місцеві жителі фільмують стопи диму та місце вибуху.Location: Primorsko-Akhtarsk, Krasnodar Krai, Russia1- pov: 46.051138, 38.2172472- pov: 46.054806, 38.2056943 - 46.058475, 38.211452Source:1 -https://twitter.com/michaelh992/status/16755134339727851532 -https://twitter.com/NOELreports/status/16755126413121536023 -https://twitter.com/bayraktar_1love/status/1675511018187898881",primorsko-akhtarsk - krasnodar krai - russia- pov: .,,2023-07-02,15:46:07,2023-07-02 18:46:07,2023,7,2,Summer,PM
02.07.2023 22:18:56 UTC+03:00,"Російський ФПВ дрон атакує українську позицію на правому березі Дніпра, що на південь від населеного пункту Іллінка, Дніпропетровська область.Location: S of Illinka, Dnipropetrovsk Oblast, Ukraine47.584067, 34.663650Source:https://t.me/RtrDonetsk/18716",s of illinka - dnipropetrovsk oblast - ukraine.,dnipropetrovsk,2023-07-02,19:18:56,2023-07-02 22:18:56,2023,7,2,Summer,PM
03.07.2023 14:00:41 UTC+03:00,"Ударні дрони ""Дикі Шершні"" роблять точний скид в російський окоп на схід від населеного пункту Урожайне, Донецька область.Location: E of Urozhaine, Donetsk Oblast, Ukraine47.746716, 36.857616Source:https://t.me/wild_hornets/59",e of urozhaine - donetsk oblast - ukraine.,donetsk,2023-07-03,11:00:41,2023-07-03 14:00:41,2023,7,3,Summer,AM
03.07.2023 16:42:46 UTC+03:00,"Український ФПВ дрон знищує комплекс спостереження «Муром-П» поблизу населеного пункту Підстепне, Херсонська область.Locaiton: W of Pidstepne, Kherson Oblast, Ukraine46.659407, 32.886076Source:https://t.me/AFUStratCom/18784",nan - nan - nan,,2023-07-03,13:42:46,2023-07-03 16:42:46,2023,7,3,Summer,PM
03.07.2023 18:16:07 UTC+03:00,"Сили спеціальних операцій України ФПВ дронами знищують камери спостереження росіян в населених пунктах Дронівка та Старосілля, Бєлгородська область.Location:1- Dronovka, Belgorod Oblast, Russia50.636519, 35.4249042 - Starosel'e, Belgorod Oblast, Russia50.700441, 35.474711Source:t.me/DPSUkr/12195",- dronovka - belgorod oblast - russia.,belgorod,2023-07-03,15:16:07,2023-07-03 18:16:07,2023,7,3,Summer,PM
03.07.2023 18:59:32 UTC+03:00,"Український ФПВ дрон знищує фальшиву вежу стільникового зв'язку в населеному пункті Нові Лагері, Херсонська область.Location: Novi Laheri, Kherson Oblast, Ukraine46.734617, 33.210670Source:https://t.me/budem_bambit/2749",novi laheri - kherson oblast - ukraine.,kherson,2023-07-03,15:59:32,2023-07-03 18:59:32,2023,7,3,Summer,PM
03.07.2023 19:26:43 UTC+03:00,"47-ма окрема артилерійська бригада обстрілює місце дислокації росіян в населеному пункті Тарасівка, Запорізька область.Location: Tarasivka, Zaporizhzhia Oblast, Ukraine47.402606, 36.111104Source:https://www.facebook.com/47OABr/videos/789936785951450/",tarasivka - zaporizhzhia oblast - ukraine.,zaporizhzhia,2023-07-03,16:26:43,2023-07-03 19:26:43,2023,7,3,Summer,PM
03.07.2023 21:15:41 UTC+03:00,"1 танкова армія рф робить скиди на українські позиції в населеному пункті Андріївка, Луганська область.Location: Andriivka, Luhansk Oblast, Ukraine49.423948, 37.909825Source:https://t.me/razved_dozor/4675",andriivka - luhansk oblast - ukraine.,luhansk,2023-07-03,18:15:41,2023-07-03 21:15:41,2023,7,3,Summer,PM
03.07.2023 23:19:16 UTC+03:00,"Заявлено, як БПЛА ""Ланцет"" знищує гаубицю М777 на південь від населеного пункту Предтечине, Донецька область.Location: S of Predtechyne, Donetsk Oblast, Ukraine48.509790, 37.813361Source:https://t.me/antiseptic_channel/1372",s of predtechyne - donetsk oblast - ukraine.,donetsk,2023-07-03,20:19:16,2023-07-03 23:19:16,2023,7,3,Summer,PM
04.07.2023 16:11:25 UTC+03:00,"Спільна робота 37-ї бригади, 66 гаубичного дивізіону та спецпідрозділу ""Птахи Мадяра"" по знищенню мінометної позиції в Урожайному, Донецька область.Location: Urozhaine, Donetsk Oblast, Ukraine47.735047, 36.826122Source:https://t.me/pj_notes/83",urozhaine - donetsk oblast - ukraine.,donetsk,2023-07-04,13:11:25,2023-07-04 16:11:25,2023,7,4,Summer,PM
04.07.2023 20:53:10 UTC+03:00,"Російський ФПВ дрон атакує українську позицію на кордоні з рф поблизу населеного пункту Кудіївка, Харківська область.Location: NE of Kudiivka, Kharkiv Oblast, Ukraine50.299211, 36.291334Source:https://t.me/voenacher/47791",ne of kudiivka - kharkiv oblast - ukraine.,kharkiv,2023-07-04,17:53:10,2023-07-04 20:53:10,2023,7,4,Summer,PM
04.07.2023 22:42:58 UTC+03:00,"ФПВ дрон 110-ї бригади знищує транспортний засіб росіян на території Донецького аеропорту.Location: Donetsk Airport, Donetsk Oblast, Ukraine48.076827, 37.694855Source:https://t.me/BUAR110ombr/76",donetsk airport - donetsk oblast - ukraine.,donetsk,2023-07-04,19:42:58,2023-07-04 22:42:58,2023,7,4,Summer,PM
05.07.2023 13:23:42 UTC+03:00,"Державна прикордонна служба України ФПВ дроном атакувала російський комплекс РЕБ «Діабазол» в населеному пункті Зерново, Брянська область. Результат невідомий.Location: Zyornovo, Bryansk Oblast, Russia52.192875, 34.077039Source:https://t.me/DPSUkr/12221",zyornovo - bryansk oblast - russia.,bryansk,2023-07-05,10:23:42,2023-07-05 13:23:42,2023,7,5,Summer,AM
05.07.2023 14:53:27 UTC+03:00,"Український ФПВ дрон знищує російський танк з ""мангалом"" в населеному пункті Макарівка, Донецька область.Location: Makarivka, Donetsk Oblast, Ukraine47.773736, 36.802235Source:https://t.me/ssternenko/18001",makarivka - donetsk oblast - ukraine.,donetsk,2023-07-05,11:53:27,2023-07-05 14:53:27,2023,7,5,Summer,AM
05.07.2023 17:12:58 UTC+03:00,"Батальйон К-2 знищує живу силу росіян в населеному пункті Золотарівка, Луганська область.Location: Zolotarivka, Luhansk Oblast, Ukraine48.868011, 38.275459Source:https://t.me/k_2_54/143",zolotarivka - luhansk oblast - ukraine.,luhansk,2023-07-05,14:12:58,2023-07-05 17:12:58,2023,7,5,Summer,PM
05.07.2023 19:28:36 UTC+03:00,"Велика група росіян тікає з позиції під мінометний обстріл від 103-ї бригади ТрО на північ від Новоселівського, Луганська область.Location: N of Novoselivske, Luhansk Oblast, Ukraine49.547605, 37.940211Source:https://www.youtube.com/watch?v=y4yWhLzTHa4",n of novoselivske - luhansk oblast - ukraine.,luhansk,2023-07-05,16:28:36,2023-07-05 19:28:36,2023,7,5,Summer,PM
05.07.2023 21:34:06 UTC+03:00,"Заявлено про знищення УР-83 на північний схід від населеного пункту Хромове, Донецька область. Архівні кадри.Location: NE of Khromove, Donetsk Oblast, Ukraine48.619332, 37.951889Source:https://t.me/ukr_sisu/10",ne of khromove - donetsk oblast - ukraine.,donetsk,2023-07-05,18:34:06,2023-07-05 21:34:06,2023,7,5,Summer,PM
06.07.2023 16:36:17 UTC+03:00,"Артилерійські обстріли українських позицій в населених пунктах Піщане, Котлярівка та Колісниківка, Харківська область.Location:Pishchane, Kupiansk Raion, Kharkiv Oblast0:01 -49.571444, 37.8370500Kotliarivka, Kharkiv Oblast0:34 -49.625590, 37.900715Kolisnykivka, Kharkiv Oblast0:53 -49.562925, 37.718172Source:https://t.me/razved_dozor/4684",pishchane - kupiansk raion - kharkiv oblast: -.,kharkiv,2023-07-06,13:36:17,2023-07-06 16:36:17,2023,7,6,Summer,PM
06.07.2023 21:03:48 UTC+03:00,"74-й батальйон 102-ї бригади ТрО скидами знищує російську бронетехніку в населеному пункті Новозлатопіль, Запорізька область.Location: Novozlatopil, Zaporizhzhia Oblast, Ukraine47.660598, 36.567581Source:https://www.facebook.com/102brygadaTROIvanoFrankivsk/videos/631583168697936/",novozlatopil - zaporizhzhia oblast - ukraine.,zaporizhzhia,2023-07-06,18:03:48,2023-07-06 21:03:48,2023,7,6,Summer,PM
07.07.2023 14:12:08 UTC+03:00,"74-й окремий розвідувальний батальйон ФПВ дронами знищує російські системи слідкування ""ПСНР-5К"" та ""АРТИКУЛ-П"" в населеному пункті Євгенівка, Донецька область.Location: Yevhenivka, Donetsk Oblast, Ukraine1 -47.668543, 37.0747922 -47.670566, 37.086055Source:https://t.me/horticka_varta/807",yevhenivka - donetsk oblast - ukraine -.,donetsk,2023-07-07,11:12:08,2023-07-07 14:12:08,2023,7,7,Summer,AM
