geometry,address
POINT (37.405817 47.7266739),"Володимирівка, 85721-85723, Донецька область, Україна"
POINT (32.7220187 46.6260908),"Олешки, 75100-75108, Херсонська область, Україна"
POINT (35.544201 46.73275),"Новопокровка, 72443, Запорізька область, Україна"
POINT (38.1554803 46.043181),"Приморско-Ахтарск, Краснодарский край, Россия"
POINT (34.447971 48.396149),"Іллінка, 52314, Дніпропетровська область, Україна"
POINT (36.8190414 47.7484857),"Урожайне, 85550, Донецька область, Україна"
POINT (6.1834097 48.6937223),"Nancy, 54000;54100, Grand Est, France"
POINT (35.424961 50.636597),"Дроновка, 309399, Белгородская область, Россия"
POINT (33.2173146 46.7340381),"Нові Лагері, 74990, Херсонська область, Україна"
POINT (35.1182867 47.8507859),"Запоріжжя, 69000-69499, Запорізька область, Україна"
POINT (37.903172 49.423031),"Андріївка, 92623, Луганська область, Україна"
POINT (37.81734 48.52352),"Предтечине, 85161, Донецька область, Україна"
POINT (36.8190414 47.7484857),"Урожайне, 85550, Донецька область, Україна"
POINT (36.2630403 50.2900778),"Кудіївка, Харківська область, Україна"
POINT (37.740801623449656 48.0713844),"Бої за Донецький Аеропорт, Нова вулиця, 86083, Нова вулиця, Веселе, Донецька область, Україна"
POINT (33.415853 52.8873315),"Брянская область, Россия"
POINT (36.8013616 47.777934),"Макарівка, 85550, Донецька область, Україна"
POINT (39.80312 48.90015),"Золотарівка, 93620, Луганська область, Україна"
POINT (37.953217 49.522568),"Новоселівське, 92621, Луганська область, Україна"
POINT (37.9453103 48.599054),"Хромове, 84557, Донецька область, Україна"
POINT (37.7819171 49.654182),"Піщане, Харківська область, Україна"
POINT (35.1182867 47.8507859),"Запоріжжя, 69000-69499, Запорізька область, Україна"
POINT (37.5287601 48.2330784),"Євгенівка, 85351, Донецька область, Україна"
POINT (35.1182867 47.8507859),"Запоріжжя, 69000-69499, Запорізька область, Україна"
POINT (37.98248 48.63064),"Ягідне, 84751, Донецька область, Україна"
POINT (38.24736 48.80942),"Спірне, 84541, Донецька область, Україна"
POINT (39.070389 48.823685),"Райгородка, 93543, Луганська область, Україна"
POINT (37.4863822 47.8552316),"Новомихайлівка, 85654, Донецька область, Україна"
POINT (37.9561085 49.0234501),"Торське, 84444, Донецька область, Україна"
POINT (36.8256785 47.697415),"Старомлинівка, 85552, Донецька область, Україна"
POINT (38.6738586 48.6963302),"Донецький, 93890, Луганська область, Україна"
POINT (35.1182867 47.8507859),"Запоріжжя, 69000-69499, Запорізька область, Україна"
POINT (37.66027 48.42344),"Яблунівка, 85142, Донецька область, Україна"
POINT (37.97184 49.44706),"Коломийчиха, 92622, Луганська область, Україна"
POINT (37.88944 48.6763),"Оріхово-Василівка, 84532, Донецька область, Україна"
POINT (31.21935419139697 47.810945200000006),"Південноукраїнська АЕС, 55000, Южноукраїнськ, Миколаївська область, Україна"
POINT (37.3723976 48.0567943),"Гірник, 85487-85488, Донецька область, Україна"
POINT (38.009251 49.476284),"Підкуйчанськ, 92630, Коломийчиська сільська громада, Луганська область, Україна"
POINT (38.6738586 48.6963302),"Донецький, 93890, Луганська область, Україна"
POINT (38.022652 49.270931),"Нововодяне, 92912, Луганська область, Україна"
POINT (36.7933 47.75293),"Старомайорське, 85550, Донецька область, Україна"
POINT (37.96188 48.64317),"Берхівка, 84557, Донецька область, Україна"
POINT (36.71459 47.49493),"Червоноселівка, 71011, Запорізька область, Україна"
POINT (36.317093 50.31184),"Журавлёвка, 308659, Белгородская область, Россия"
POINT (36.827923 50.353954),"Новая Таволжанка, 309255, Белгородская область, Россия"
POINT (38.251866 48.7561028),"Берестове, 84541, Донецька область, Україна"
POINT (37.0011772 48.1053608),"Запоріжжя, 85373, Донецька область, Україна"
POINT (36.9898489 47.6289891),"Малий Керменчик, 85570, Донецька область, Україна"
POINT (38.2178525 49.0463189),"Кремінна, Луганська область, Україна"
POINT (36.8190414 47.7484857),"Урожайне, 85550, Донецька область, Україна"
POINT (34.9211323 47.0179164),"Веселе, 72200-72204, Запорізька область, Україна"
POINT (37.95828 48.5279),"Кліщіївка, 84557, Донецька область, Україна"
POINT (37.82661 48.08973),"Яковлівка, 86082, Донецька область, Україна"
POINT (37.851849 49.370174),"Копанки, Харківська область, Україна"
POINT (36.933511 47.6431918),"Ялинське, 85570, Донецька область, Україна"
POINT (35.456661 47.38781),"Володимирівка, 72011, Роздольська сільська громада, Запорізька область, Україна"
POINT (37.993374 49.498978),"Кривошиївка, 92630, Луганська область, Україна"
POINT (38.2747987 46.7112094),"Ейск, Краснодарский край, Россия"
POINT (37.5472476 47.7955881),"Степне, 85665, Донецька область, Україна"
